FirstName1 LastName1  associate 100455.77
FirstName737 LastName737  associate 65373.70
FirstName738 LastName738  full 129776.49
FirstName739 LastName739  associate 97398.90
FirstName740 LastName740  full 79526.15
FirstName741 LastName741  full 76855.35
FirstName742 LastName742  full 121622.66
FirstName743 LastName743  assistant 59434.00
FirstName744 LastName744  full 85814.80
FirstName745 LastName745  associate 107028.67
FirstName746 LastName746  associate 106106.83
FirstName747 LastName747  full 128249.62
FirstName748 LastName748  associate 66362.34
FirstName749 LastName749  assistant 67443.45
FirstName750 LastName750  assistant 50947.17
FirstName751 LastName751  associate 101523.04
FirstName752 LastName752  assistant 78443.23
FirstName753 LastName753  full 104786.92
FirstName754 LastName754  full 95149.29
FirstName755 LastName755  full 105105.59
FirstName756 LastName756  associate 97913.28
FirstName757 LastName757  full 113735.60
FirstName758 LastName758  full 126386.02
FirstName759 LastName759  full 103543.33
FirstName760 LastName760  associate 86089.15
FirstName761 LastName761  full 107336.20
FirstName762 LastName762  associate 80547.58
FirstName763 LastName763  associate 83498.67
FirstName764 LastName764  full 120094.06
FirstName765 LastName765  assistant 51728.15
FirstName766 LastName766  assistant 79011.23
FirstName767 LastName767  full 129493.31
FirstName768 LastName768  assistant 56223.54
FirstName769 LastName769  full 84084.55
FirstName770 LastName770  full 123898.89
FirstName771 LastName771  assistant 77828.43
FirstName772 LastName772  associate 65744.46
FirstName773 LastName773  assistant 53651.14
FirstName774 LastName774  full 78320.22
FirstName775 LastName775  associate 97534.15
FirstName776 LastName776  assistant 64607.94
FirstName777 LastName777  assistant 69688.07
FirstName778 LastName778  associate 90902.48
FirstName779 LastName779  full 90376.97
FirstName780 LastName780  full 107977.66
FirstName781 LastName781  full 89563.63
FirstName782 LastName782  assistant 60584.61
FirstName783 LastName783  full 96686.29
FirstName784 LastName784  assistant 72411.61
FirstName785 LastName785  associate 65164.08
FirstName786 LastName786  full 111743.81
FirstName787 LastName787  associate 90558.55
FirstName788 LastName788  assistant 72179.95
FirstName789 LastName789  full 104079.84
FirstName790 LastName790  full 84038.22
FirstName791 LastName791  assistant 69577.68
FirstName792 LastName792  full 97150.38
FirstName793 LastName793  full 104816.36
FirstName794 LastName794  associate 68291.52
FirstName795 LastName795  associate 79460.53
FirstName796 LastName796  full 103825.81
FirstName797 LastName797  associate 91864.84
FirstName798 LastName798  assistant 72658.86
FirstName799 LastName799  associate 99193.84
FirstName800 LastName800  associate 106515.03
FirstName801 LastName801  assistant 74283.73
FirstName802 LastName802  associate 66675.39
FirstName803 LastName803  associate 95784.86
FirstName804 LastName804  assistant 69335.43
FirstName805 LastName805  assistant 71818.03
FirstName806 LastName806  full 95367.22
FirstName807 LastName807  full 119755.73
FirstName808 LastName808  full 92088.11
FirstName809 LastName809  assistant 59679.60
FirstName810 LastName810  assistant 75883.32
FirstName811 LastName811  assistant 70364.15
FirstName812 LastName812  full 93013.68
FirstName813 LastName813  associate 75096.68
FirstName814 LastName814  full 78716.37
FirstName815 LastName815  full 81729.33
FirstName816 LastName816  assistant 61496.48
FirstName817 LastName817  assistant 59968.87
FirstName818 LastName818  assistant 59718.03
FirstName819 LastName819  full 91591.23
FirstName820 LastName820  assistant 59983.73
FirstName821 LastName821  full 124916.56
FirstName822 LastName822  full 120812.44
FirstName823 LastName823  full 123381.10
FirstName824 LastName824  assistant 68272.40
FirstName825 LastName825  associate 67359.26
FirstName826 LastName826  assistant 53314.28
FirstName827 LastName827  full 107386.49
FirstName828 LastName828  full 108483.61
FirstName829 LastName829  full 76770.89
FirstName830 LastName830  full 101372.23
FirstName831 LastName831  full 120539.38
FirstName832 LastName832  associate 97266.49
FirstName833 LastName833  assistant 74967.72
FirstName834 LastName834  full 98014.35
FirstName835 LastName835  full 84368.04
FirstName836 LastName836  full 81013.42
FirstName837 LastName837  full 115005.97
FirstName838 LastName838  associate 101604.79
FirstName839 LastName839  associate 105630.49
FirstName840 LastName840  associate 106444.40
FirstName841 LastName841  associate 103942.29
FirstName842 LastName842  assistant 66834.47
FirstName843 LastName843  associate 62165.66
FirstName844 LastName844  full 89858.73
FirstName845 LastName845  associate 82616.17
FirstName846 LastName846  associate 94857.35
FirstName847 LastName847  assistant 57790.13
FirstName848 LastName848  assistant 70119.84
FirstName849 LastName849  associate 77399.61
FirstName850 LastName850  full 103544.88
FirstName851 LastName851  associate 105578.96
FirstName852 LastName852  full 110509.94
FirstName853 LastName853  assistant 69228.57
FirstName854 LastName854  associate 65876.52
FirstName855 LastName855  assistant 50059.81
FirstName856 LastName856  associate 72994.24
FirstName857 LastName857  associate 109304.28
FirstName858 LastName858  full 76349.93
FirstName859 LastName859  associate 91123.24
FirstName860 LastName860  full 86312.87
FirstName861 LastName861  full 102024.38
FirstName862 LastName862  associate 80634.30
FirstName863 LastName863  assistant 63572.55
FirstName864 LastName864  full 79327.12
FirstName865 LastName865  associate 100660.94
FirstName866 LastName866  full 112542.72
FirstName867 LastName867  full 86092.87
FirstName868 LastName868  associate 99646.09
FirstName869 LastName869  associate 83907.78
FirstName870 LastName870  associate 85188.23
FirstName871 LastName871  assistant 53742.51
FirstName872 LastName872  associate 76328.69
FirstName873 LastName873  associate 94218.79
FirstName874 LastName874  full 109400.22
FirstName875 LastName875  assistant 79569.82
FirstName876 LastName876  assistant 57191.21
FirstName877 LastName877  associate 64364.83
FirstName878 LastName878  assistant 50722.20
FirstName879 LastName879  assistant 53077.98
FirstName880 LastName880  assistant 69661.74
FirstName881 LastName881  full 92768.95
FirstName882 LastName882  assistant 56105.06
FirstName883 LastName883  full 94323.61
FirstName884 LastName884  full 110513.80
FirstName885 LastName885  associate 73683.22
FirstName886 LastName886  associate 95731.97
FirstName887 LastName887  full 89057.46
FirstName888 LastName888  associate 70705.30
FirstName889 LastName889  associate 76388.78
FirstName890 LastName890  associate 70536.06
FirstName891 LastName891  full 104931.45
FirstName892 LastName892  associate 75763.74
FirstName893 LastName893  full 82767.55
FirstName894 LastName894  full 108263.52
FirstName895 LastName895  full 119187.91
FirstName896 LastName896  associate 90205.99
FirstName897 LastName897  assistant 69527.48
FirstName898 LastName898  associate 67275.55
FirstName899 LastName899  assistant 53099.11
FirstName900 LastName900  associate 102762.68
FirstName901 LastName901  assistant 60379.26
FirstName902 LastName902  assistant 64344.39
FirstName903 LastName903  full 115009.79
FirstName904 LastName904  assistant 57329.80
FirstName905 LastName905  associate 62526.23
FirstName906 LastName906  associate 60329.89
FirstName907 LastName907  assistant 61531.29
FirstName908 LastName908  assistant 77981.62
FirstName909 LastName909  assistant 71640.98
FirstName910 LastName910  full 81792.66
FirstName911 LastName911  associate 86505.44
FirstName912 LastName912  associate 92334.34
FirstName913 LastName913  assistant 50442.33
FirstName914 LastName914  assistant 53724.16
FirstName915 LastName915  associate 94020.83
FirstName916 LastName916  assistant 55790.09
FirstName917 LastName917  full 109458.33
FirstName918 LastName918  associate 103556.43
FirstName919 LastName919  assistant 75253.87
FirstName920 LastName920  full 80593.53
FirstName921 LastName921  assistant 69760.18
FirstName922 LastName922  full 103926.56
FirstName923 LastName923  assistant 63200.85
FirstName924 LastName924  assistant 75139.63
FirstName925 LastName925  full 103440.98
FirstName926 LastName926  associate 105695.77
FirstName927 LastName927  full 95648.86
FirstName928 LastName928  full 90083.32
FirstName929 LastName929  full 80170.53
FirstName930 LastName930  assistant 60165.70
FirstName931 LastName931  assistant 52499.68
FirstName932 LastName932  assistant 60924.13
FirstName933 LastName933  assistant 57163.42
FirstName934 LastName934  assistant 77420.45
FirstName935 LastName935  assistant 71868.71
FirstName936 LastName936  assistant 56280.50
FirstName937 LastName937  full 117436.76
FirstName938 LastName938  associate 96269.07
FirstName939 LastName939  associate 105779.93
FirstName940 LastName940  full 127869.90
FirstName941 LastName941  associate 87165.84
FirstName942 LastName942  assistant 61830.08
FirstName943 LastName943  full 104422.70
FirstName944 LastName944  assistant 57450.01
FirstName945 LastName945  assistant 58880.90
FirstName946 LastName946  associate 102765.62
FirstName947 LastName947  full 110115.29
FirstName948 LastName948  full 78901.77
FirstName949 LastName949  associate 76371.22
FirstName950 LastName950  assistant 62464.57
FirstName951 LastName951  associate 82927.15
FirstName952 LastName952  assistant 60648.87
FirstName953 LastName953  full 86751.83
FirstName954 LastName954  associate 80631.51
FirstName955 LastName955  associate 107945.42
FirstName956 LastName956  full 108297.56
FirstName957 LastName957  assistant 52826.77
FirstName958 LastName958  associate 61877.42
FirstName959 LastName959  assistant 66272.28
FirstName960 LastName960  full 94349.43
FirstName961 LastName961  assistant 58179.93
FirstName962 LastName962  full 82565.40
FirstName963 LastName963  associate 99788.54
FirstName964 LastName964  full 92952.29
FirstName965 LastName965  associate 66867.12
FirstName966 LastName966  full 78702.84
FirstName967 LastName967  assistant 61993.39
FirstName968 LastName968  full 106174.18
FirstName969 LastName969  associate 92798.32
FirstName970 LastName970  assistant 77111.13
FirstName971 LastName971  associate 89201.17
FirstName972 LastName972  full 123640.47
FirstName973 LastName973  associate 107384.20
FirstName974 LastName974  assistant 67715.14
FirstName975 LastName975  full 116526.07
FirstName976 LastName976  associate 79492.46
FirstName977 LastName977  full 112781.84
FirstName978 LastName978  associate 101516.51
FirstName979 LastName979  associate 68831.57
FirstName980 LastName980  associate 60879.10
FirstName981 LastName981  full 93854.03
FirstName982 LastName982  assistant 73672.18
FirstName983 LastName983  associate 101589.43
FirstName984 LastName984  assistant 57191.05
FirstName985 LastName985  associate 85381.27
FirstName986 LastName986  full 126151.23
FirstName987 LastName987  associate 102206.61
FirstName988 LastName988  full 97643.38
FirstName989 LastName989  associate 100956.10
FirstName990 LastName990  assistant 66318.07
FirstName991 LastName991  full 79890.33
FirstName992 LastName992  associate 82045.91
FirstName993 LastName993  associate 71480.56
FirstName994 LastName994  full 118514.16
FirstName995 LastName995  assistant 76152.71
FirstName996 LastName996  full 114554.54
FirstName997 LastName997  assistant 68795.50
FirstName998 LastName998  assistant 59679.27
FirstName999 LastName999  associate 100200.34
FirstName1000 LastName1000  associate 85550.62
